162.bmp 649.bmp 611.bmp 
931.bmp 5.31369e+08 5.20057e+08 3.79981e+08
932.bmp 6.97524e+08 5.80805e+08 5.304e+08
933.bmp 6.87773e+08 6.01734e+08 5.25896e+08
934.bmp 6.96454e+08 5.99296e+08 5.32646e+08
935.bmp 5.92821e+08 5.56699e+08 4.41178e+08
936.bmp 6.91645e+08 5.7042e+08 5.17804e+08
937.bmp 6.69762e+08 5.76346e+08 5.00144e+08
938.bmp 6.61676e+08 5.57956e+08 4.88509e+08
939.bmp 1.94888e+08 7.32905e+08 1.72512e+08
940.bmp 6.5849e+08 5.80715e+08 5.02816e+08
941.bmp 5.93167e+08 5.78033e+08 4.46549e+08
942.bmp 5.83123e+08 5.65367e+08 4.31639e+08
943.bmp 5.74438e+08 5.56161e+08 4.27729e+08
944.bmp 6.97434e+08 5.93828e+08 5.21421e+08
945.bmp 6.97544e+08 5.89533e+08 5.273e+08
946.bmp 6.90463e+08 5.49964e+08 5.08112e+08
947.bmp 5.85991e+08 5.17618e+08 4.24678e+08
948.bmp 5.11289e+08 5.38089e+08 3.75106e+08
949.bmp 6.2205e+08 5.692e+08 4.64415e+08
950.bmp 4.58742e+08 5.74029e+08 3.41572e+08
951.bmp 7.13257e+08 6.02402e+08 5.5009e+08
952.bmp 5.43423e+08 5.54392e+08 3.98124e+08
953.bmp 5.70211e+08 3.55383e+08 4.37456e+08
954.bmp 6.3489e+08 5.65511e+08 4.7529e+08
955.bmp 4.90474e+08 5.32351e+08 3.53221e+08
956.bmp 6.43178e+08 5.34633e+08 4.72482e+08
957.bmp 5.98376e+08 5.26143e+08 4.32045e+08
958.bmp 4.42552e+08 6.26126e+08 3.40906e+08
959.bmp 6.89057e+08 6.08323e+08 5.28e+08
960.bmp 5.96466e+08 5.5159e+08 4.41322e+08
961.bmp 6.73142e+08 6.17543e+08 5.179e+08
962.bmp 5.72135e+08 5.45142e+08 4.22773e+08
963.bmp 4.98289e+08 5.77031e+08 3.84933e+08
964.bmp 6.87263e+08 5.63254e+08 5.09144e+08
965.bmp 4.09447e+08 5.59471e+08 3.016e+08
966.bmp 5.53842e+08 5.09848e+08 4.02003e+08
967.bmp 6.90509e+08 6.13786e+08 5.32817e+08
968.bmp 6.77385e+08 5.57942e+08 5.08382e+08
969.bmp 5.81476e+08 5.51387e+08 4.2666e+08
970.bmp 7.01221e+08 5.7749e+08 5.24672e+08
971.bmp 6.55481e+08 6.01964e+08 5.00274e+08
972.bmp 6.49481e+08 5.67316e+08 4.85087e+08
973.bmp 6.74529e+08 5.95721e+08 5.16806e+08
974.bmp 7.1356e+08 5.6266e+08 5.35701e+08
975.bmp 4.65323e+08 5.50141e+08 3.36946e+08
976.bmp 5.65561e+08 5.12453e+08 4.00657e+08
977.bmp 6.89556e+08 5.77707e+08 5.18984e+08
978.bmp 6.91703e+08 5.81321e+08 5.1975e+08
979.bmp 5.41556e+08 5.0838e+08 3.93591e+08
980.bmp 3.45545e+08 6.11514e+08 2.61632e+08
981.bmp 5.39723e+08 5.19258e+08 3.89166e+08
982.bmp 5.2233e+08 5.40335e+08 3.77382e+08
983.bmp 6.03748e+08 5.51062e+08 4.54616e+08
984.bmp 6.95649e+08 5.91624e+08 5.29907e+08
985.bmp 5.49087e+08 5.39561e+08 4.0598e+08
986.bmp 6.78036e+08 5.92088e+08 5.17267e+08
987.bmp 6.07592e+08 5.57707e+08 4.5347e+08
988.bmp 6.32709e+08 5.68339e+08 4.7331e+08
989.bmp 6.6821e+08 5.89335e+08 5.08022e+08
990.bmp 6.66593e+08 5.4535e+08 4.88947e+08
991.bmp 6.13507e+08 5.51717e+08 4.5743e+08
992.bmp 7.16298e+08 6.10007e+08 5.52875e+08
993.bmp 6.83594e+08 5.63642e+08 5.08901e+08
994.bmp 6.08068e+08 5.54459e+08 4.54737e+08
995.bmp 5.14629e+08 5.63057e+08 3.84256e+08
996.bmp 5.82383e+08 5.34461e+08 4.2615e+08
997.bmp 7.05252e+08 5.7838e+08 5.24283e+08
998.bmp 7.02627e+08 5.94194e+08 5.30387e+08
999.bmp 6.90874e+08 6.03572e+08 5.16614e+08
