162.bmp 649.bmp 611.bmp 
201.bmp 6.63458e+08 5.73837e+08 5.26467e+08
202.bmp 6.70104e+08 6.16122e+08 5.18479e+08
203.bmp 6.56023e+08 5.54196e+08 4.94928e+08
204.bmp 5.56163e+08 5.43546e+08 4.08952e+08
205.bmp 4.72701e+08 7.11601e+08 4.15559e+08
206.bmp 6.37077e+08 5.43013e+08 4.75814e+08
207.bmp 7.1675e+08 5.50017e+08 5.57577e+08
208.bmp 5.58616e+08 5.35657e+08 4.17512e+08
209.bmp 6.22902e+08 5.37358e+08 4.81236e+08
210.bmp 5.00542e+08 5.16287e+08 3.62483e+08
211.bmp 6.05363e+08 6.34298e+08 5.0424e+08
212.bmp 5.96617e+08 5.2955e+08 4.42431e+08
213.bmp 6.16168e+08 5.20924e+08 4.53426e+08
214.bmp 5.82464e+08 5.47907e+08 4.42897e+08
215.bmp 6.72025e+08 5.73343e+08 5.08842e+08
216.bmp 5.26835e+08 6.49401e+08 4.37272e+08
217.bmp 5.85923e+08 6.20104e+08 4.81262e+08
218.bmp 5.18205e+08 5.06685e+08 3.82874e+08
219.bmp 7.08536e+08 5.98411e+08 5.46338e+08
220.bmp 5.83173e+08 5.1095e+08 4.34693e+08
221.bmp 6.60433e+08 5.12233e+08 4.81207e+08
222.bmp 5.71514e+08 5.44657e+08 4.22205e+08
223.bmp 5.06917e+08 6.1419e+08 4.04884e+08
224.bmp 5.90249e+08 5.31261e+08 4.33791e+08
225.bmp 6.50522e+08 5.54932e+08 4.96251e+08
226.bmp 6.69895e+08 5.98528e+08 5.14336e+08
227.bmp 5.28384e+08 5.49364e+08 3.92252e+08
228.bmp 6.55801e+08 5.73771e+08 4.99329e+08
229.bmp 6.28696e+08 5.84279e+08 4.78863e+08
230.bmp 5.34927e+08 5.44703e+08 4.07312e+08
231.bmp 6.416e+08 5.81205e+08 4.87469e+08
232.bmp 6.19578e+08 5.43209e+08 4.73659e+08
233.bmp 6.36534e+08 5.7735e+08 4.82201e+08
234.bmp 5.68732e+08 5.00414e+08 4.19682e+08
235.bmp 5.69532e+08 5.20113e+08 3.96262e+08
236.bmp 6.40518e+08 5.47783e+08 4.78677e+08
237.bmp 5.82345e+08 5.38916e+08 4.37532e+08
238.bmp 6.34946e+08 5.74989e+08 4.90514e+08
239.bmp 5.02742e+08 5.40368e+08 3.69216e+08
240.bmp 6.78076e+08 5.94047e+08 5.19267e+08
241.bmp 6.22274e+08 5.61622e+08 4.67396e+08
242.bmp 6.15052e+08 5.5322e+08 4.63065e+08
243.bmp 5.3606e+08 5.41524e+08 4.04553e+08
244.bmp 7.00294e+08 5.97062e+08 5.48225e+08
245.bmp 4.99474e+08 5.45635e+08 3.79373e+08
246.bmp 6.22129e+08 5.35814e+08 4.69752e+08
247.bmp 6.1656e+08 5.5936e+08 4.58414e+08
248.bmp 6.56025e+08 6.0355e+08 5.07007e+08
249.bmp 6.04912e+08 6.03836e+08 4.8119e+08
250.bmp 5.14082e+08 6.41812e+08 4.32203e+08
251.bmp 5.81383e+08 5.16703e+08 4.252e+08
252.bmp 4.7578e+08 5.38337e+08 3.51393e+08
253.bmp 6.82014e+08 6.10206e+08 5.26009e+08
254.bmp 6.03768e+08 5.17934e+08 4.5996e+08
255.bmp 6.04763e+08 5.086e+08 4.51064e+08
256.bmp 6.88378e+08 5.78363e+08 5.29502e+08
257.bmp 6.01171e+08 5.43309e+08 4.49148e+08
258.bmp 6.09546e+08 5.29549e+08 4.48486e+08
259.bmp 6.29329e+08 5.5702e+08 4.67296e+08
260.bmp 6.75354e+08 5.75108e+08 5.28556e+08
261.bmp 6.21474e+08 5.73131e+08 4.89082e+08
262.bmp 6.24855e+08 5.64732e+08 4.7514e+08
263.bmp 5.82745e+08 5.45684e+08 4.33322e+08
264.bmp 6.12095e+08 5.31818e+08 4.53832e+08
265.bmp 6.09247e+08 5.55355e+08 4.55648e+08
266.bmp 6.68746e+08 5.91839e+08 5.08034e+08
267.bmp 6.26057e+08 5.42327e+08 4.90842e+08
268.bmp 5.47635e+08 5.39961e+08 4.00349e+08
269.bmp 6.34621e+08 5.11643e+08 4.85405e+08
270.bmp 6.45856e+08 5.35699e+08 4.88467e+08
271.bmp 6.02262e+08 5.40351e+08 4.54812e+08
272.bmp 5.57709e+08 6.82271e+08 4.80261e+08
273.bmp 6.94752e+08 5.65561e+08 5.30114e+08
274.bmp 6.49213e+08 5.63022e+08 4.87689e+08
275.bmp 5.80892e+08 5.55876e+08 4.36737e+08
276.bmp 6.43352e+08 5.60312e+08 4.8141e+08
277.bmp 6.15727e+08 5.78915e+08 4.67729e+08
278.bmp 6.36183e+08 5.69952e+08 4.90473e+08
279.bmp 6.47957e+08 5.94551e+08 4.9612e+08
280.bmp 6.1779e+08 5.41557e+08 4.56813e+08
281.bmp 6.27558e+08 5.59618e+08 4.73977e+08
282.bmp 6.49703e+08 5.15726e+08 4.76347e+08
283.bmp 6.28189e+08 4.83612e+08 4.63915e+08
284.bmp 4.90723e+08 5.49311e+08 3.71061e+08
285.bmp 6.47883e+08 5.46901e+08 4.76288e+08
286.bmp 7.96136e+08 1.88184e+08 6.18077e+08
287.bmp 4.5802e+08 5.82246e+08 3.55591e+08
288.bmp 6.05831e+08 5.62953e+08 4.6435e+08
289.bmp 6.65526e+08 5.93915e+08 5.26992e+08
290.bmp 6.10954e+08 5.57941e+08 4.61762e+08
291.bmp 5.49814e+08 5.70412e+08 4.1551e+08
292.bmp 5.45106e+08 5.57935e+08 4.17253e+08
293.bmp 5.49894e+08 5.46979e+08 4.13886e+08
294.bmp 6.63975e+08 5.48218e+08 5.08298e+08
295.bmp 6.39511e+08 5.6003e+08 4.94912e+08
296.bmp 5.4952e+08 5.73602e+08 4.2105e+08
297.bmp 5.39009e+08 5.50406e+08 4.04918e+08
298.bmp 6.23192e+08 5.28702e+08 4.64924e+08
299.bmp 6.02257e+08 5.47053e+08 4.54634e+08
300.bmp 6.72255e+08 5.97143e+08 5.13042e+08
301.bmp 6.98306e+08 5.28085e+08 5.21534e+08
302.bmp 6.85342e+08 5.54457e+08 5.17981e+08
303.bmp 7.00206e+08 5.9709e+08 5.38489e+08
304.bmp 7.01757e+08 5.76727e+08 5.35863e+08
305.bmp 6.57973e+08 5.09987e+08 4.78426e+08
306.bmp 7.09607e+08 5.93073e+08 5.40006e+08
307.bmp 6.81641e+08 5.43422e+08 5.10699e+08
308.bmp 6.63889e+08 4.97088e+08 4.98539e+08
309.bmp 6.69416e+08 5.67044e+08 4.99753e+08
310.bmp 6.35689e+08 5.82867e+08 4.93419e+08
311.bmp 6.39424e+08 5.61483e+08 4.80639e+08
312.bmp 6.69219e+08 5.74814e+08 5.07187e+08
313.bmp 6.92134e+08 6.12767e+08 5.31962e+08
314.bmp 7.28573e+08 6.4346e+08 5.72548e+08
315.bmp 6.76395e+08 5.40511e+08 5.03425e+08
316.bmp 6.67643e+08 5.03456e+08 4.93648e+08
317.bmp 6.89842e+08 4.83703e+08 5.15952e+08
318.bmp 6.96491e+08 5.71182e+08 5.30445e+08
319.bmp 6.60006e+08 5.20226e+08 4.92231e+08
320.bmp 6.6562e+08 5.44007e+08 4.93703e+08
321.bmp 6.61368e+08 5.74703e+08 5.05505e+08
322.bmp 6.4907e+08 5.55326e+08 4.83193e+08
323.bmp 6.40441e+08 5.26263e+08 4.74245e+08
324.bmp 6.73564e+08 5.82983e+08 5.15281e+08
325.bmp 6.84635e+08 6.13868e+08 5.28168e+08
326.bmp 6.89318e+08 5.81231e+08 5.20367e+08
327.bmp 7.15118e+08 6.1103e+08 5.53994e+08
328.bmp 6.38825e+08 5.53582e+08 4.74261e+08
329.bmp 7.03463e+08 6.40225e+08 5.51146e+08
330.bmp 6.95165e+08 6.00325e+08 5.29489e+08
331.bmp 7.06364e+08 5.8867e+08 5.34986e+08
332.bmp 6.98838e+08 5.72551e+08 5.35606e+08
333.bmp 6.63991e+08 5.3585e+08 4.9107e+08
334.bmp 6.27326e+08 4.94765e+08 4.68669e+08
335.bmp 6.90857e+08 5.88372e+08 5.2713e+08
336.bmp 7.12261e+08 5.97335e+08 5.47232e+08
337.bmp 7.01077e+08 6.24257e+08 5.44469e+08
338.bmp 6.68718e+08 5.15013e+08 4.99158e+08
339.bmp 7.35302e+08 6.11459e+08 5.71983e+08
340.bmp 6.36351e+08 5.62625e+08 4.79608e+08
341.bmp 6.62908e+08 6.07785e+08 5.29383e+08
342.bmp 6.60193e+08 4.73803e+08 4.80093e+08
343.bmp 7.08527e+08 6.0441e+08 5.44748e+08
344.bmp 7.27263e+08 5.14957e+08 5.49409e+08
345.bmp 6.85335e+08 5.52122e+08 5.17171e+08
346.bmp 6.01e+08 5.41866e+08 4.42389e+08
347.bmp 6.97105e+08 5.856e+08 5.31007e+08
348.bmp 6.80656e+08 5.72474e+08 5.13621e+08
349.bmp 4.51583e+08 5.88685e+08 3.37163e+08
350.bmp 5.99795e+08 4.93856e+08 4.39071e+08
351.bmp 6.77446e+08 5.691e+08 5.065e+08
352.bmp 6.7541e+08 5.44921e+08 5.01305e+08
353.bmp 6.86346e+08 5.43484e+08 5.10794e+08
354.bmp 6.72265e+08 5.29701e+08 5.03297e+08
355.bmp 5.76168e+08 5.56462e+08 4.3392e+08
356.bmp 7.39041e+08 6.07463e+08 5.74939e+08
357.bmp 5.2203e+08 5.35422e+08 3.83674e+08
358.bmp 6.45964e+08 5.08389e+08 4.74146e+08
359.bmp 6.7923e+08 5.62843e+08 5.07664e+08
360.bmp 6.99393e+08 5.72453e+08 5.25063e+08
361.bmp 5.50429e+08 5.86834e+08 4.3445e+08
362.bmp 6.8643e+08 5.72368e+08 5.22828e+08
363.bmp 7.16472e+08 5.94895e+08 5.51961e+08
364.bmp 6.28242e+08 5.24628e+08 4.60262e+08
365.bmp 6.35603e+08 5.8723e+08 4.9884e+08
366.bmp 6.85806e+08 5.70003e+08 5.18454e+08
367.bmp 5.62658e+08 5.56123e+08 4.30225e+08
368.bmp 6.88621e+08 5.68919e+08 5.13417e+08
369.bmp 7.04015e+08 5.80209e+08 5.41846e+08
370.bmp 6.66747e+08 5.16832e+08 4.84791e+08
371.bmp 6.72255e+08 5.97143e+08 5.13042e+08
372.bmp 6.93969e+08 4.9299e+08 5.30319e+08
373.bmp 6.80933e+08 5.7207e+08 5.16878e+08
374.bmp 6.81483e+08 5.4876e+08 5.19645e+08
375.bmp 6.78769e+08 5.88962e+08 5.18728e+08
376.bmp 5.69092e+08 5.50088e+08 4.27193e+08
377.bmp 6.99334e+08 5.45906e+08 5.22538e+08
378.bmp 6.88382e+08 5.61293e+08 5.17297e+08
379.bmp 6.49748e+08 5.58365e+08 4.8624e+08
380.bmp 6.61194e+08 5.43444e+08 4.9116e+08
